Product,Category
Samsung Galaxy S (2010),phones
Samsung Galaxy S II (2011),phones
Samsung Galaxy S III (2012),phones
Samsung Galaxy S4 (2013),phones
Samsung Galaxy S5 (2014),phones
Samsung Galaxy S6 (2015),phones
Samsung Galaxy S6 Edge (2015),phones
Samsung Galaxy S7 (2016),phones
Samsung Galaxy S7 Edge (2016),phones
Samsung Galaxy S8 (2017),phones
Samsung Galaxy S8+ (2017),phones
Samsung Galaxy S9 (2018),phones
Samsung Galaxy S9+ (2018),phones
Samsung Galaxy S10e (2019),phones
Samsung Galaxy S10 (2019),phones
Samsung Galaxy S10+ (2019),phones
Samsung Galaxy S20 (2020),phones
Samsung Galaxy S20+ (2020),phones
Samsung Galaxy S20 Ultra (2020),phones
Samsung Galaxy S21 (2021),phones
Samsung Galaxy S21+ (2021),phones
Samsung Galaxy S21 Ultra (2021),phones
iPad (1st generation),tablets
iPad 2,tablets
iPad (3rd generation),tablets
iPad (4th generation),tablets
iPad Air,tablets
iPad Air 2,tablets
iPad (5th generation),tablets
iPad (6th generation),tablets
iPad Air (3rd generation),tablets
iPad (7th generation),tablets
iPad (8th generation),tablets
iPad Air (4th generation),tablets
iPad Mini,tablets
iPad Mini 2,tablets
iPad Mini 3,tablets
iPad Mini 4,tablets
iPad Mini (5th generation),tablets
"iPad Pro (12.9-inch, 1st generation)",tablets
iPad Pro (9.7-inch),tablets
"iPad Pro (12.9-inch, 2nd generation)",tablets
iPad Pro (10.5-inch),tablets
iPad (9th generation),tablets
"iPad Pro (11-inch, 1st generation)",tablets
"iPad Pro (12.9-inch, 3rd generation)",tablets
"iPad Pro (11-inch, 2nd generation)",tablets
"iPad Pro (12.9-inch, 4th generation)",tablets
iPad Air (5th generation),tablets
"iPad Pro (11-inch, 3rd generation)",tablets
"iPad Pro (12.9-inch, 5th generation)",tablets
MacBook Pro (2006),computers
MacBook Pro (Late 2006),computers
MacBook Pro (Mid 2007),computers
MacBook Pro (Late 2007),computers
MacBook Pro (Early 2008),computers
MacBook Pro (Late 2008),computers
MacBook Pro (Early 2009),computers
MacBook Pro (Mid 2009),computers
MacBook Pro (Mid 2010),computers
MacBook Pro (Early 2011),computers
MacBook Pro (Late 2011),computers
MacBook Pro (Mid 2012),computers
MacBook Pro (Late 2012),computers
"MacBook Pro (Retina, 13-inch, Late 2012)",computers
"MacBook Pro (Retina, 15-inch, Mid 2012)",computers
"MacBook Pro (Retina, 13-inch, Early 2013)",computers
"MacBook Pro (Retina, 15-inch, Early 2013)",computers
"MacBook Pro (Retina, 13-inch, Late 2013)",computers
"MacBook Pro (Retina, 15-inch, Late 2013)",computers
"MacBook Pro (Retina, 13-inch, Mid 2014)",computers
"MacBook Pro (Retina, 15-inch, Mid 2014)",computers
"MacBook Pro (Retina, 13-inch, Early 2015)",computers
"MacBook Pro (Retina, 15-inch, Mid 2015)",computers
"MacBook Pro (13-inch, Late 2016, Two Thunderbolt 3 ports)",computers
"MacBook Pro (13-inch, Late 2016, Four Thunderbolt 3 ports)",computers
"MacBook Pro (15-inch, Late 2016)",computers
"MacBook Pro (13-inch, Mid 2017, Two Thunderbolt 3 ports)",computers
"MacBook Pro (13-inch, Mid 2017, Four Thunderbolt 3 ports)",computers
"MacBook Pro (15-inch, Mid 2017)",computers
"MacBook Pro (13-inch, 2019, Two Thunderbolt 3 ports)",computers
"MacBook Pro (13-inch, 2019, Four Thunderbolt 3 ports)",computers
"MacBook Pro (16-inch, 2019)",computers
"MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports)",computers
"MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports)",computers
"MacBook Pro (16-inch, 2021)",computers
"MacBook Pro (14-inch, 2021)",computers
