Product,Category
Apple 13-inch MacBook Air (M1 CPU) 256GB - 2020,Laptop
Apple 13-inch MacBook Air (M1 CPU) 512GB - 2020,Laptop
Apple 13-inch MacBook Air with Retina display (1.1GHz dual-core CPU) 256GB - 2020,Laptop
Apple 13-inch MacBook Air with Retina display (1.1GHz quad-core CPU) 512GB - 2020,Laptop
Apple 13-inch MacBook Pro (1.4GHz quad-core CPU) 256GB - 2020,Laptop
Apple 13-inch MacBook Pro (2.0GHz quad-core CPU) 512GB - 2020,Laptop
Apple 13-inch MacBook Pro (Four Thunderbolt 3 ports) 1TB - 2020,Laptop
Apple 13-inch MacBook Pro (Four Thunderbolt 3 ports) 512GB - 2020,Laptop
Apple 13-inch MacBook Pro (M1 CPU) 256GB - 2020,Laptop
Apple 13-inch MacBook Pro (M1 CPU) 512GB - 2020,Laptop
Apple 13-inch MacBook Pro (Two Thunderbolt 3 ports) 256GB - 2020,Laptop
Apple 13-inch MacBook Pro (Two Thunderbolt 3 ports) 512GB - 2020,Laptop
Apple 13-inch MacBook Pro with Retina display (2.7GHz CPU) 128GB - 2015,Laptop
Apple 14-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,Laptop
Apple 14-inch MacBook Pro (M1 Pro 8-core CPU and 14-core GPU) 512GB - 2021,Laptop
Apple 14-inch MacBook Pro with 64GB,Laptop
Apple 15-inch MacBook Pro (2.3GHz 8-core CPU) 512GB - 2019,Laptop
Apple 15-inch MacBook Pro (2.6GHz 6-core CPU) 256GB - 2019,Laptop
Apple 15-inch MacBook Pro with Retina display (2.2GHz CPU) 256GB - 2015,Laptop
Apple 16-inch MacBook Pro (2.3GHz 8-core CPU) 1TB - 2019,Laptop
Apple 16-inch MacBook Pro (2.6GHz 6-core CPU) 512GB - 2019,Laptop
Apple 16-inch MacBook Pro (M1 Max 10-core CPU and 32-core GPU) 1TB - 2021,Laptop
Apple 16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,Laptop
Apple 16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 512GB - 2021,Laptop
Apple 16-inch MacBook Pro with 64GB,Laptop
Apple 21.5-inch iMac with Retina 4K display (3.0GHz 6-core CPU) 1TB - 2019,Desktop
Apple 21.5-inch iMac with Retina 4K display (3.6GHz quad-core CPU) 1TB - 2019,Desktop
Apple 24-inch iMac with 4.5K Retina display (M1 CPU and 7-core GPU) 256GB - 2021,Desktop
Apple 24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 256GB - 2021,Desktop
Apple 24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 512GB - 2021,Desktop
Apple 27-inch iMac with 5K Retina display (3.0GHz 6-core CPU) 1TB - 2019,Desktop
Apple 27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 1TB - 2019,Desktop
Apple 27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 256GB - 2020,Desktop
Apple 27-inch iMac with 5K Retina display (3.3GHz 6-core CPU) 512GB - 2020,Desktop
Apple 27-inch iMac with 5K Retina display (3.7GHz 6-core CPU) 2TB - 2019,Desktop
Apple 27-inch iMac with 5K Retina display (3.8GHz 8-core CPU) 512GB - 2020,Desktop
Apple Apple Studio Display with tilt-adjustable stand,Monitor
Apple Apple TV 4K (3rd generation) with 64GB,Entertainment
Apple Apple Watch SE 44mm Aluminum Case with Sport Band,IoT
Apple Apple Watch SE 44mm Aluminum Case with Sport Band,IoT
Apple Apple Watch Series 8 45mm Aluminum Case with Sport Band,IoT
Apple Apple Watch Series 8 45mm Aluminum Case with Sport Band,IoT
Apple Apple Watch Ultra (GPS + Cellular) Titanium Case with Ocean Band,IoT
Apple Apple Watch Ultra (GPS + Cellular) Titanium Case with Ocean Band,IoT
Apple HomePod (2nd generation),IoT
Apple HomePod mini,IoT
Apple HomePod,IoT
Apple iPad (10th generation) with 64GB,Tablet
Apple iPad (9th generation) Wi-Fi + Cellular with 64GB,Tablet
Apple iPad (9th generation) Wi-Fi + Cellular with 64GB,Tablet
Apple iPad Air (5th generation) with 64GB,Tablet
Apple iPad mini (6th generation) with 64GB,Tablet
Apple iPad Pro 11-inch (4th generation) with 128GB,Tablet
Apple iPad Pro 12,Tablet
Apple iPhone 11 128GB,Smartphone
Apple iPhone 11 256GB,Smartphone
Apple iPhone 11 64GB,Smartphone
Apple iPhone 12 128GB,Smartphone
Apple iPhone 12 256GB,Smartphone
Apple iPhone 12 64GB,Smartphone
Apple iPhone 13 mini with 128GB,Smartphone
Apple iPhone 13 Pro 128GB,Smartphone
Apple iPhone 13 Pro 1TB,Smartphone
Apple iPhone 13 Pro 256GB,Smartphone
Apple iPhone 13 Pro 512GB,Smartphone
Apple iPhone 13 Pro Max 128GB,Smartphone
Apple iPhone 13 Pro Max 1TB,Smartphone
Apple iPhone 13 Pro Max 256GB,Smartphone
Apple iPhone 13 Pro Max 512GB,Smartphone
Apple iPhone 13 with 128GB,Smartphone
Apple iPhone 14 Plus with 128GB,Smartphone
Apple iPhone 14 Pro Max with 128GB,Smartphone
Apple iPhone 14 Pro with 128GB,Smartphone
Apple iPhone 14 with 128GB,Smartphone
Apple iPhone 8 256GB,Smartphone
Apple iPhone 8 64GB,Smartphone
Apple iPhone SE - Gen 2 128GB,Smartphone
Apple iPhone SE - Gen 2 256GB,Smartphone
Apple iPhone SE - Gen 2 64GB,Smartphone
Apple iPhone SE (3rd generation) with 64GB,Smartphone
Apple iPod touch (7th generation),Entertainment
Apple Mac mini (M1 2020) with 256GB,Desktop
Apple Mac mini with M2 with 256GB,Desktop
Apple Mac Pro (2.5GHz 28-core CPU and Radeon Pro Vega II Duo GPU and Afterburner card) with 1.5TB memory 4TB storage - 2019,Workstation
Apple Mac Pro (3.5GHz 8-core CPU and Radeon Pro 580X GPU) with 32GB memory 256GB storage - 2019,Workstation
Apple Mac Pro 3,Desktop
Apple Mac Studio with Apple M1 Max 32GB memory and 512GB,Desktop
Apple MacBook Air (M1 2020) with 256GB,Laptop
Apple MacBook Air (M2 2022) with 256GB,Laptop
Apple MacBook Pro (M2 2022) with 256GB,Laptop
Apple Pro Display XDR with Pro Stand,Monitor
Asus Mini PC PB60,Desktop
Asus Notebook C423,Laptop
Dell AW2518H Monitor,Monitor
Dell AW2518HF Monitor,Monitor
Dell AW3418DW Monitor,Monitor
Dell AW3418HW Monitor,Monitor
Dell C1422H Monitor,Monitor
Dell C2422HE Monitor (without stand),Monitor
Dell C2422HE Monitor,Monitor
Dell C2423H Monitor,Monitor
Dell C2722DE Monitor,Monitor
Dell C2723H Monitor,Monitor
Dell C3422WE Monitor,Monitor
Dell C5519Q Monitor,Monitor
Dell C5522QT Monitor,Monitor
Dell C6522QT Monitor,Monitor
Dell C7520QT Monitor,Monitor
Dell C8618QT Monitor,Monitor
Dell Chromebook 3100 2-in-1,Desktop
Dell Chromebook 3100,Desktop
Dell D7523QT Monitor,Monitor
Dell E1715S Monitor,Monitor
Dell E1916H Monitor,Monitor
Dell E1916HE Monitor,Monitor
Dell E1916HV Monitor,Monitor
Dell E1920H Monitor,Monitor
Dell E2016H Monitor,Monitor
Dell E2016HV Monitor,Monitor
Dell E2020H Monitor,Monitor
Dell E2216H Monitor,Monitor
Dell E2216HV Monitor,Monitor
Dell E2218HN Monitor,Monitor
Dell E2219HN Monitor,Monitor
Dell E2220H Monitor,Monitor
Dell E2221HN Monitor,Monitor
Dell E2222H Monitor,Monitor
Dell E2222HS Monitor,Monitor
Dell E2223HN Monitor,Monitor
Dell E2223HV Monitor,Monitor
Dell E2316H Monitor,Monitor
Dell E2318H Monitor,Monitor
Dell E2318HN Monitor,Monitor
Dell E2417H Monitor,Monitor
